Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Advent,1,Monday,I/II,,"Psalm 122.1-2, 3-4, 7-8, 9-10 (R.1)",Let us go rejoicing to the house of the Lord.,See Psalm 80.4,"Come and save us, Lord our God; let us see your face, and we shall be saved.",175
Advent,1,Tuesday,I/II,,"Psalm 72.1-2, 7-8, 12-13, 17 (R.7)","Justice shall flourish in his time, and fullness of peace for ever.",,"Behold, our Lord shall come with power; he will enlighten the eyes of his servants.",176
Advent,1,Wednesday,I/II,,"Psalm 23.1-3a, 3b-4, 5, 6 (R.6cd)",I shall dwell in the house of the Lord all the days of my life.,,The Lord is coming to save his people; happy are those prepared to meet him.,177
Advent,1,Thursday,I/II,,"Psalm 118.1, 8-9, 19-21, 25-27a (R.26a)",Blessed is he who comes in the name of the Lord.,Isaiah 55.6,Seek the Lord while he may be found. Call on him while he is near. 14 FIRST WEEK OF ADVENT,178
Advent,1,Friday,I/II,,"Psalm 27.1, 4, 13-14 (R.1a)",The Lord is my light and my salvation.,,"Behold, our Lord shall come in power; he will enlighten the eyes of his servants.",179
Advent,1,Saturday,I/II,,"Psalm 147.1-2, 3-4, 5-6 (R. Isa 30.18)",Happy are all who long for the coming of the Lord.,Isaiah 33.22,The Lord will judge us by his law; he is our King and Saviour.,180
Advent,2,Monday,I/II,,"Psalm 85.8ab-9, 10-11, 12-13 (R. Isa 35.4d)",Our God will come to save us!,,"Behold, the king will come, the Lord of earth, and he will set us free.",181
Advent,2,Tuesday,I/II,,"Psalm 96.1-2, 3 & 10ac, 11-12, 13 (R. Isa 40.10a)",The Lord our God comes in strength.,,The day of the Lord is near: he comes to save us. 20 SECOND WEEK OF ADVENT,182
Advent,2,Wednesday,I/II,,"Psalm 103.1-2, 3-4, 8+10 (R.1a)","O bless the Lord, my soul!",,The Lord is coming to save his people; happy are those prepared to meet him. 22 SECOND WEEK OF ADVENT,183
Advent,2,Thursday,I/II,,"Psalm 145.1+9, 10-11, 12-13ab (R.8)",The Lord is kind and merciful.++,Isaiah 45.8,"Let the clouds rain down the Just One, and the earth bring forth a Saviour. 24 SECOND WEEK OF ADVENT",184
Advent,2,Friday,I/II,,"Psalm 1.1-2, 3, 4+6 (R. see Jn 8.12)","Those who follow you, Lord, will have the light of life.",,The Lord will come; go out to meet him! He is the prince of peace.,185
Advent,2,Saturday,I/II,,"Psalm 80.1ac+2b, 14-15, 17-18 (R.3)","Lord, let us see your face and we shall be saved.++","Luke 3.4, 6","Prepare the way of the Lord, make straight his paths: all people shall see the salvation of God.",186
Advent,3,Monday,I/II,,"Psalm 25.4bc-5ab, 6-7bc, 8-9 (R.4)","Teach me your ways, O Lord.",Psalm 84.8,"Lord, show us your mercy and love, and grant us your salvation.",187
Advent,3,Tuesday,I/II,,"Psalm 34.1-2, 5-6, 17-18, 19+22 (R.6a)",The Lord hears the cry of the poor.,,"Come, O Lord, do not delay; forgive the sins of your people.",188
Advent,3,Wednesday,I/II,,"Psalm 85.8ab-9, 10-11, 12-14 (R. Isa 45.8)",Let the clouds rain down the Just One.++,Isaiah 40.9-10,Raise your voice and tell the good news: The Lord our God comes in strength.,189
Advent,3,Thursday,I/II,,"Psalm 30.1+3, 4-5, 10-11ac+12 (R.1a)","I will praise you, Lord, for you have rescued me.","Luke 3.4,6","Prepare the way of the Lord, make straight his paths: all people shall see the salvation of God. THURSDAY 37",190
Advent,3,Friday,I/II,,"Psalm 67.1-2, 4, 6-7 (R.3)","O God, let the nations praise you!",,"Come, Lord, bring us your peace; let us rejoice before you with a perfect heart.",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 72.1-2, 3-4, 7-8, 17 (R.7)",Justice and peace shall flourish for ever.++,,"Come, Wisdom of our God Most High, guiding creation with power and love: teach us to walk in the path of knowledge!",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 72.1-2, 12-13, 18-19 (R.7)",Justice and peace shall flourish for ever.++,,"Come, Leader of ancient Israel, giver of the Law to Moses on Sinai: rescue us with your mighty power!",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 71.3-4a, 5-6ab, 16-17 (R.8)",Fill me with your praise and I will sing your glory!,,"Come, Flower of Jesse’s stem, sign of God’s love for all his people: save us without delay!",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 24.1-2, 3-4ab, 5-6 (R.7c+10c)",Let the Lord enter; he is king of glory.,,"Come, Key of David, opening the gates of God’s eternal kingdom: free the prisoners of darkness!",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 33.2-3, 11-12, 20-21 (R.1a+3a)",Cry out with joy to the Lord.++,,"Come, Emmanuel, God’s presence among us, our King, our Judge: save us, Lord our God!",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 25.4bc-5ab, 8-9, 10+14 (R. Lk 21.28)",Lift up your heads and see; your redemption is near at hand.,,"Come, Emmanuel, God’s presence among us, our King, our Judge: save us, Lord our God!",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 89.1-2, 3-4, 26+28 (R.2a)",For ever I will sing the goodness of the Lord.,,"Come, Radiant Dawn, splendour of eternal light, sun of justice: shine on those lost in the darkness of death!",191
Christmas,Octave,Friday,I/II,,"Psalm 31.2cd-3ab, 5+7ab, 15bc-16 (R.5a)","Into your hands, O Lord, I entrust my spirit.","Psalm 118.26a, 27a",Blessed is he who comes in the name of the Lord: the Lord shines upon us.,191
Christmas,Octave,Friday,I/II,,"Psalm 97. 1-2, 5-6, 11-12 (R.12a)",Let the just rejoice in the Lord.,,"We praise you, O God, we acclaim you as Lord; the glorious company of apostles praise you.",191
